ID,Tipo,SKU,Nombre,Precio rebajado,Precio normal,Posición,Etiquetas,Categorías,Marcas,Marca,Superior,_regla_oferta
19221,variation,WRO1208WAP-NVYL,Abrigo Impermeable de Algodon Original Mujer Azul Marino - L,127492,149990,1,,,Hunter,,WRO1208WAP-NVY,Chaquetas 15% off
19222,variation,WRO1208WAP-NVYM,Abrigo Impermeable de Algodon Original Mujer Azul Marino - M,127492,149990,1,,,Hunter,,WRO1208WAP-NVY,Chaquetas 15% off
19223,variation,WRO1208WAP-NVYS,Abrigo Impermeable de Algodon Original Mujer Azul Marino - S,127492,149990,1,,,Hunter,,WRO1208WAP-NVY,Chaquetas 15% off
19224,variation,WRO1208WAP-NVYXS,Abrigo Impermeable de Algodon Original Mujer Azul Marino - XS,127492,149990,1,,,Hunter,,WRO1208WAP-NVY,Chaquetas 15% off
19225,variation,WRO1227SBC-BLKL,Abrigo Impermeable de Algodon Original Mujer Negro - L,186992,219990,1,,,Hunter,,WRO1227SBC-BLK,Chaquetas 15% off
19226,variation,WRO1227SBC-BLKM,Abrigo Impermeable de Algodon Original Mujer Negro - M,186992,219990,1,,,Hunter,,WRO1227SBC-BLK,Chaquetas 15% off
19227,variation,WRO1227SBC-BLKS,Abrigo Impermeable de Algodon Original Mujer Negro - S,186992,219990,1,,,Hunter,,WRO1227SBC-BLK,Chaquetas 15% off
19228,variation,WRO1227SBC-BLKXS,Abrigo Impermeable de Algodon Original Mujer Negro - XS,186992,219990,1,,,Hunter,,WRO1227SBC-BLK,Chaquetas 15% off
19229,variation,WRO1227SBC-DOVL,Abrigo Impermeable de Algodon Original Mujer Verde Oliva 2 - L,186992,219990,1,,,Hunter,,WRO1227SBC-DOV,Chaquetas 15% off
19230,variation,WRO1227SBC-DOVM,Abrigo Impermeable de Algodon Original Mujer Verde Oliva 2 - M,186992,219990,1,,,Hunter,,WRO1227SBC-DOV,Chaquetas 15% off
19231,variation,WRO1227SBC-DOVS,Abrigo Impermeable de Algodon Original Mujer Verde Oliva 2 - S,186992,219990,1,,,Hunter,,WRO1227SBC-DOV,Chaquetas 15% off
19232,variation,WRO1227SBC-DOVXS,Abrigo Impermeable de Algodon Original Mujer Verde Oliva 2 - XS,186992,219990,1,,,Hunter,,WRO1227SBC-DOV,Chaquetas 15% off
19233,variation,WRO1258WAP-DOVL,Impermeable Ligero Para Mujer Verde Oliva - L,141610,166600,1,,,Hunter,,WRO1258WAP-DOV,Chaquetas 15% off
19234,variation,WRO1258WAP-DOVM,Impermeable Ligero Para Mujer Verde Oliva - M,141610,166600,1,,,Hunter,,WRO1258WAP-DOV,Chaquetas 15% off
19235,variation,WRO1258WAP-DOVS,Impermeable Ligero Para Mujer Verde Oliva - S,141610,166600,1,,,Hunter,,WRO1258WAP-DOV,Chaquetas 15% off
19236,variation,WRO1258WAP-DOVXS,Impermeable Ligero Para Mujer Verde Oliva - XS,141610,166600,1,,,Hunter,,WRO1258WAP-DOV,Chaquetas 15% off
19237,variation,WRO1258WAP-NVYL,Impermeable Ligero Para Mujer Azul Marino - L,141610,166600,1,,,Hunter,,WRO1258WAP-NVY,Chaquetas 15% off
19238,variation,WRO1258WAP-NVYM,Impermeable Ligero Para Mujer Azul Marino - M,141610,166600,1,,,Hunter,,WRO1258WAP-NVY,Chaquetas 15% off
19239,variation,WRO1258WAP-NVYS,Impermeable Ligero Para Mujer Azul Marino - S,141610,166600,1,,,Hunter,,WRO1258WAP-NVY,Chaquetas 15% off
19240,variation,WRO1258WAP-NVYXS,Impermeable Ligero Para Mujer Azul Marino - XS,141610,166600,1,,,Hunter,,WRO1258WAP-NVY,Chaquetas 15% off
19482,variation,WFT1009NRE-BLK 38,Bota Ecuestre de Neopreno elástico - 38,83994,139990,1,,,Hunter,Hunter,WFT1009NRE-BLK,Botas mujer/hombre 40% off
19483,variation,WFT1009NRE-BLK 39,Bota Ecuestre de Neopreno elástico - 39,83994,139990,1,,,Hunter,Hunter,WFT1009NRE-BLK,Botas mujer/hombre 40% off
19484,variation,WFT1009NRE-BLK 40/41,Bota Ecuestre de Neopreno elástico - 40/41,83994,139990,1,,,Hunter,Hunter,WFT1009NRE-BLK,Botas mujer/hombre 40% off
20192,variation,MFS9000CNV-ATM43,Botas Commando Desert Hombre Verde Musgo - 43,83994,139990,1,,,Hunter,Hunter,MFS9000CNV-ATM,Botas mujer/hombre 40% off
20193,variation,MFS9000CNV-ATM44,Botas Commando Desert Hombre Verde Musgo - 44,83994,139990,1,,,Hunter,Hunter,MFS9000CNV-ATM,Botas mujer/hombre 40% off
